Source;Target;Weight
1604641628;417475032;11
1604641628;1604641628;10
1604641628;1110527558;9
1604641628;14105609;2
1604641628;1020875798;1
1604641628;1343432916;4
1604641628;461767763;3
1604641628;2389905601;5
1604641628;295738178;14
1604641628;2321638812;2
1604641628;256112218;1
1604641628;53269300;1
417475032;417475032;12
417475032;1604641628;17
417475032;387551207;1
417475032;40462231;9
417475032;127187433;2
417475032;2196266324;1
417475032;104944189;3
417475032;461767763;8
417475032;2389905601;4
417475032;1343432916;10
417475032;67003923;1
417475032;62720856;4
417475032;14105609;1
417475032;948182076;2
417475032;455325612;1
417475032;295738178;3
417475032;17871283;4
417475032;33267419;1
14105609;417475032;3
14105609;14105609;14
14105609;1343432916;4
14105609;17871283;3
14105609;40462231;3
14105609;920206460;1
14105609;1604641628;2
1020875798;1020875798;10
1020875798;909149042;2
1020875798;1910182099;1
104944189;2816961008;3
104944189;417475032;1
104944189;2389905601;1
104944189;104944189;1
40462231;40462231;2
40462231;461767763;2
40462231;14105609;4
40462231;455325612;2
40462231;417475032;1
40462231;62613799;1
40462231;1965456318;2
461767763;1018567512;1
461767763;461767763;3
2389905601;417475032;1
2389905601;2389905601;32
2389905601;461767763;2
2389905601;1604641628;1
2389905601;234775716;4
2389905601;295738178;1
2389905601;2196266324;1
2389905601;33267419;1
62720856;417475032;3
62720856;62720856;1
1366013839;1366013839;6
1366013839;1861266060;1
1366013839;455325612;1
2816961008;417475032;1
2816961008;2816961008;1
2816961008;104944189;1
2816961008;2389905601;1
2816961008;16024573;2
27921880;256112218;1
27921880;417475032;2
27921880;27921880;1
295738178;1604641628;16
295738178;295738178;6
295738178;1110527558;6
295738178;2389905601;1
295738178;417475032;1
1110527558;1604641628;6
1110527558;295738178;7
1110527558;1110527558;2
1018567512;1018567512;3
1018567512;455325612;3
1018567512;2389905601;1
1135235695;1135235695;4
234775716;2196266324;1
234775716;234775716;7
234775716;2389905601;13
1965456318;1018567512;1
1965456318;1965456318;11
954858505;954858505;4
954858505;2389905601;3
62613799;40462231;4
62613799;2196266324;1
62613799;455325612;2
62613799;62613799;1
455325612;2389905601;3
455325612;40462231;3
455325612;1018567512;4
455325612;417475032;1
455325612;455325612;2
173640006;2389905601;3
1910182099;1020875798;3
1223754842;2196266324;1
1223754842;1965456318;5
1223754842;455325612;1
1839054584;14105609;2
1839054584;920206460;1
17871283;14105609;4
17871283;17871283;2
17871283;417196823;1
17871283;920206460;10
17871283;948182076;1
17871283;41876478;1
17871283;417475032;3
62660872;461767763;1
62660872;455325612;1
62660872;40462231;3
2966628041;2321638812;4
41876478;1343432916;5
371238908;2196266324;3
371238908;371238908;3
371238908;17871283;1
371238908;417475032;1
371238908;104944189;1
371238908;59046694;1
920206460;17871283;10
920206460;14105609;3
920206460;920206460;3
920206460;1839054584;1
196162592;1135235695;2
196162592;196162592;1
22366626;2196266324;4
22366626;22366626;1
898837898;417196823;1
898837898;1965456318;4
16024573;2816961008;3
16024573;104944189;1
16024573;59046694;1
2298525677;104944189;1
2298525677;1018567512;1
2298525677;371238908;4
2298525677;2414319287;1
2298525677;2196266324;1
2298525677;2389905601;1
33267419;2389905601;8
33267419;33267419;1
1861266060;1366013839;4
948182076;417475032;3
2894660385;1018567512;4
24379132;2389905601;5
24379132;2196266324;1
112897540;145911084;4
2750784940;1110527558;1
2750784940;1604641628;3
10228272;455325612;5
102471017;14105609;2
102471017;40462231;2
2788495945;2389905601;4
2676054192;1018567512;3
2676054192;455325612;2
2790696458;14105609;4
2821886271;1965456318;3
387551207;417475032;1
2196266324;2196266324;1
34915513;2196266324;1
1343432916;417475032;1
1343432916;104944189;1
1343432916;1343432916;1
1343432916;41876478;1
1343432916;1604641628;1
67003923;2196266324;1
2321638812;1604641628;1
909149042;1604641628;1
909149042;909149042;1
2998972798;1366013839;1
53269300;417475032;1
417196823;62613799;1
2414319287;2414319287;1
62901749;14105609;1
7144422;27921880;1
1343492959;1020875798;1
181250934;2196266324;2
110439417;14105609;1
110439417;455325612;1
110439417;417475032;1
110439417;40462231;2
110439417;24379132;1
1046694636;417196823;1
2148068161;14105609;1
533761522;2196266324;1
458099940;2196266324;1
458099940;27921880;1
18802160;1366013839;1
192017012;1343432916;1
3021526689;417475032;1
2899630236;40462231;1
389646794;2196266324;1
389646794;14105609;1
389646794;17871283;1
221163605;2414319287;1
1072802917;2196266324;1
1072802917;2389905601;1
1072802917;455325612;1
1072802917;1965456318;1
1072802917;371238908;1
291891039;1020875798;1
502567862;62720856;1
1293074616;295738178;1
588577649;2414319287;1
756138607;371238908;1
1327655468;14105609;2
1668778081;2196266324;1
2357029296;2196266324;1
559985798;2196266324;1
2796994949;1020875798;2
1126322371;1110527558;1
97384476;2389905601;1
930496003;14105609;1
1579422614;104944189;1
2439379074;104944189;1
1462664142;1910182099;1
2843689722;1965456318;1
16610766;2196266324;1
16610766;1018567512;1
2388753211;1018567512;1
2388753211;2389905601;1
910872846;2196266324;1
27194144;14105609;2
27194144;62720856;1
2410343796;1604641628;1
835083097;2389905601;1
331957960;41876478;1
18569545;1135235695;1
67231075;59046694;1
67231075;371238908;1
193508679;371238908;2
2846950811;909149042;1
78348383;295738178;1
28309724;2816961008;1
28309724;417475032;2
28309724;1343432916;1
28309724;40462231;1
28309724;2196266324;1
28309724;455325612;1
2838765079;2389905601;1
2155838035;14105609;1
38119383;1965456318;1
